"ship_city","revenue"
"GIDHAUR",NULL
"THANE-west",NULL
"KALAIYARKOIL, SIVAGANGA DISTRICT",NULL
"Miyapur Hyderabad",NULL
"Attur, salem",NULL
"Dona Paula, Panaji",NULL
"Kakkad, Mukkam, kozhikode",NULL
"SHIRAWAD INDUSTRIAL AREA",NULL
"Kalpakkam",NULL
"Bhiwadi, Alwar",NULL
